"Rule ID","Description","Help","Help URL","Impact","Manual","Needs Review","IGT","Selector","Summary","Source Code","Tags","Found By","Test Title","Test URL","Share URL","Created At"
"button-name","Ensures buttons have discernible text","Buttons must have discernible text","https://dequeuniversity.com/rules/axe/4.3/button-name?application=AxeChrome","critical","No","No","","[""#btn-media""]","Fix any of the following:
  Element does not have inner text that is visible to screen readers
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element has no title attribute
  Element's default semantics were not overridden with role=""none"" or role=""presentation""","<button id=""btn-media"" data-target="".nav-collapse"" data-toggle=""collapse"" class=""btn btn-navbar collapsed"" type=""button"" hidefocus=""true"" style=""outline: medium none;"" onclick=""handleContainer();"">","cat.name-role-value,wcag2a,wcag412,section508,section508.22.a,ACT","smithchoi0123@gmail.com",,"https://mc.manuscriptcentral.com/tste-pes","","2021-12-07T13:17:02.131Z"
"html-has-lang","Ensures every HTML document has a lang attribute","<html> element must have a lang attribute","https://dequeuniversity.com/rules/axe/4.3/html-has-lang?application=AxeChrome","serious","No","No","","[""html""]","Fix any of the following:
  The <html> element does not have a lang attribute","<html class=""x-strict"">","cat.language,wcag2a,wcag311,ACT","smithchoi0123@gmail.com",,"https://mc.manuscriptcentral.com/tste-pes","","2021-12-07T13:17:02.131Z"
"image-alt","Ensures <img> elements have alternate text or a role of none or presentation","Images must have alternate text","https://dequeuniversity.com/rules/axe/4.3/image-alt?application=AxeChrome","critical","No","No","","[""img[height=\""\\35 7\""]""]","Fix any of the following:
  Element does not have an alt attribute
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element has no title attribute
  Element's default semantics were not overridden with role=""none"" or role=""presentation""","<img src=""/images/en_US/page_headers/createaccount_header.gif"" height=""57"" width=""80"" border=""0"">","cat.text-alternatives,wcag2a,wcag111,section508,section508.22.a,ACT","smithchoi0123@gmail.com",,"https://mc.manuscriptcentral.com/tste-pes","","2021-12-07T13:17:02.131Z"
"image-alt","Ensures <img> elements have alternate text or a role of none or presentation","Images must have alternate text","https://dequeuniversity.com/rules/axe/4.3/image-alt?application=AxeChrome","critical","No","No","","[""tr:nth-child(1) > td > table[cellspacing=\""\\30 \""][cellpadding=\""\\30 \""] > tbody > tr > td[valign=\""TOP\""]:nth-child(1) > a[onclick=\""return\\ checkUploadFields\\(\\)\\;\""] > img""]","Fix any of the following:
  Element does not have an alt attribute
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element has no title attribute
  Element's default semantics were not overridden with role=""none"" or role=""presentation""","<img src=""/images/en_US/layout/steps/1_unvisited_done.gif"" border=""0"">","cat.text-alternatives,wcag2a,wcag111,section508,section508.22.a,ACT","smithchoi0123@gmail.com",,"https://mc.manuscriptcentral.com/tste-pes","","2021-12-07T13:17:02.131Z"
"image-alt","Ensures <img> elements have alternate text or a role of none or presentation","Images must have alternate text","https://dequeuniversity.com/rules/axe/4.3/image-alt?application=AxeChrome","critical","No","No","","[""tr:nth-child(2) > .incompletestep[align=\""LEFT\""][valign=\""TOP\""] > img""]","Fix any of the following:
  Element does not have an alt attribute
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element has no title attribute
  Element's default semantics were not overridden with role=""none"" or role=""presentation""","<img src=""/images/en_US/layout/steps/spacer.gif"" border=""0"">","cat.text-alternatives,wcag2a,wcag111,section508,section508.22.a,ACT","smithchoi0123@gmail.com",,"https://mc.manuscriptcentral.com/tste-pes","","2021-12-07T13:17:02.131Z"
"image-alt","Ensures <img> elements have alternate text or a role of none or presentation","Images must have alternate text","https://dequeuniversity.com/rules/axe/4.3/image-alt?application=AxeChrome","critical","No","No","","[""tr:nth-child(3) > td > table[cellspacing=\""\\30 \""][cellpadding=\""\\30 \""] > tbody > tr > td[valign=\""TOP\""]:nth-child(1) > a[onclick=\""return\\ checkUploadFields\\(\\)\\;\""] > img""]","Fix any of the following:
  Element does not have an alt attribute
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element has no title attribute
  Element's default semantics were not overridden with role=""none"" or role=""presentation""","<img src=""/images/en_US/layout/steps/2_data_on.gif"" border=""0"">","cat.text-alternatives,wcag2a,wcag111,section508,section508.22.a,ACT","smithchoi0123@gmail.com",,"https://mc.manuscriptcentral.com/tste-pes","","2021-12-07T13:17:02.131Z"
"image-alt","Ensures <img> elements have alternate text or a role of none or presentation","Images must have alternate text","https://dequeuniversity.com/rules/axe/4.3/image-alt?application=AxeChrome","critical","No","No","","[""tr:nth-child(4) > .incompletestep[align=\""LEFT\""][valign=\""TOP\""] > img""]","Fix any of the following:
  Element does not have an alt attribute
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element has no title attribute
  Element's default semantics were not overridden with role=""none"" or role=""presentation""","<img src=""/images/en_US/layout/steps/spacer.gif"" border=""0"">","cat.text-alternatives,wcag2a,wcag111,section508,section508.22.a,ACT","smithchoi0123@gmail.com",,"https://mc.manuscriptcentral.com/tste-pes","","2021-12-07T13:17:02.131Z"
"image-alt","Ensures <img> elements have alternate text or a role of none or presentation","Images must have alternate text","https://dequeuniversity.com/rules/axe/4.3/image-alt?application=AxeChrome","critical","No","No","","[""tr:nth-child(5) > td > table[cellspacing=\""\\30 \""][cellpadding=\""\\30 \""] > tbody > tr > td[valign=\""TOP\""]:nth-child(1) > a[onclick=\""return\\ checkUploadFields\\(\\)\\;\""] > img""]","Fix any of the following:
  Element does not have an alt attribute
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element has no title attribute
  Element's default semantics were not overridden with role=""none"" or role=""presentation""","<img src=""/images/en_US/layout/steps/3_unvisited.gif"" border=""0"">","cat.text-alternatives,wcag2a,wcag111,section508,section508.22.a,ACT","smithchoi0123@gmail.com",,"https://mc.manuscriptcentral.com/tste-pes","","2021-12-07T13:17:02.131Z"
"image-alt","Ensures <img> elements have alternate text or a role of none or presentation","Images must have alternate text","https://dequeuniversity.com/rules/axe/4.3/image-alt?application=AxeChrome","critical","No","No","","[""tr:nth-child(1) > td > table[cellspacing=\""\\35 \""][align=\""LEFT\""][width=\""\\31 00\\%\""] > tbody > tr > .tablelines[colspan=\""\\32 \""] > table[cellspacing=\""\\31 \""][cellpadding=\""\\35 \""][width=\""\\31 00\\%\""] > tbody > tr > .tablelightcolor > table[cellspacing=\""\\32 \""][cellpadding=\""\\30 \""][align=\""RIGHT\""] > tbody > tr > td[align=\""RIGHT\""]:nth-child(2) > a > img[name=\""previous_button\""]""]","Fix any of the following:
  Element does not have an alt attribute
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element has no title attribute
  Element's default semantics were not overridden with role=""none"" or role=""presentation""","<img src=""/images/en_US/buttons/previous.gif"" border=""0"" name=""previous_button"">","cat.text-alternatives,wcag2a,wcag111,section508,section508.22.a,ACT","smithchoi0123@gmail.com",,"https://mc.manuscriptcentral.com/tste-pes","","2021-12-07T13:17:02.131Z"
"image-alt","Ensures <img> elements have alternate text or a role of none or presentation","Images must have alternate text","https://dequeuniversity.com/rules/axe/4.3/image-alt?application=AxeChrome","critical","No","No","","[""tr:nth-child(1) > td > table[cellspacing=\""\\35 \""][align=\""LEFT\""][width=\""\\31 00\\%\""] > tbody > tr > .tablelines[colspan=\""\\32 \""] > table[cellspacing=\""\\31 \""][cellpadding=\""\\35 \""][width=\""\\31 00\\%\""] > tbody > tr > .tablelightcolor > table[cellspacing=\""\\32 \""][cellpadding=\""\\30 \""][align=\""RIGHT\""] > tbody > tr > td[align=\""RIGHT\""]:nth-child(3) > a > img[src$=\""next\\.gif\""][name=\""next_button\""]""]","Fix any of the following:
  Element does not have an alt attribute
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element has no title attribute
  Element's default semantics were not overridden with role=""none"" or role=""presentation""","<img src=""/images/en_US/buttons/next.gif"" border=""0"" name=""next_button"">","cat.text-alternatives,wcag2a,wcag111,section508,section508.22.a,ACT","smithchoi0123@gmail.com",,"https://mc.manuscriptcentral.com/tste-pes","","2021-12-07T13:17:02.131Z"
